Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Mocko, Gregory; Malak, Richard; Paredis, Christiaan; Peak, Russell; ",A knowledge repository for behavioral models in engineering design,International Design Engineering Technical Conferences and Computers and Information in Engineering Conference,46970,,943-952,2004,
"Ameri, Farhad; Summers, Joshua D; Mocko, Gregory M; Porter, Matthew; ",Engineering design complexity: an investigation of methods and measures,Research in Engineering Design,19,,161-179,2008,Springer-Verlag
"Sen, Chiradeep; Caldwell, Benjamin W; Summers, Joshua D; Mocko, Gregory M; ",Evaluation of the functional basis using an information theoretic approach,AI EDAM,24,1,87-105,2010,Cambridge University Press
"Mocko, Gregory M; Fenves, Steven Joseph; Mocko, Gregory M; ",A survey of design-analysis integration issues,,,,,2003,"US Department of Commerce, Technology Administration, National Institute of …"
"Mocko, Gregory M; Paasch, Robert; ",Incorporating uncertainty in diagnostic analysis of mechanical systems,J. Mech. Des.,127,2,315-325,2005,
"Grujicic, M; Pandurangan, B; Mocko, GM; Hung, ST; Cheeseman, BA; Roy, WN; Skaggs, RR; ",A Combined Multi‐Material Euler/Lagrange Computational Analysis of Blast Loading Resulting from Detonation of Buried Landmines,Multidiscipline Modeling in Materials and Structures,4,2,105-124,2008,Emerald Group Publishing Limited
"Fenves, SJ; Choi, Y; Gurumoorthy, B; Mocko, G; Sriram, RD; ",Master product model for the support of tighter design-analysis integration,"National Institute of Standards and Technology, Gaithersburg, MD",20899,,,2003,
"Caldwell, Benjamin W; Sen, Chiradeep; Mocko, Gregory M; Summers, Joshua D; Fadel, Georges M; ",Empirical examination of the functional basis and design repository,Design Computing and Cognition'08: Proceedings of the Third International Conference on Design Computing and Cognition,,,261-280,2008,Springer Netherlands
"Zeng, Sai; Kim, Edward J; Mocko, Gregory M; Xiao, Angran; Peak, Russell; Mistree, Farrokh; ",Systematic design method for information modeling in CAD/CAE,International Design Engineering Technical Conferences and Computers and Information in Engineering Conference,36991,,657-668,2003,
"Teegavarapu, Sudhakar; Summers, Joshua D; Mocko, Gregory M; ",Design method development: A case study and survey,Tools and Methods of Competitive Engineering,,,,2008,
